StateName,County,Countyrate,City,Salestaxrate,AlachuaCounty,7%
Alabama,,,Muscle Shoals,9%,,
Alabama,,,Sheffield,9%,,
Alabama,,,Leighton,5.50%,,
Alabama,,,Cherokee,5.50%,,
Alabama,,,,,,
Alabama,,,,,,
Alabama,Conecuh County,6%,Evergreen,6%,,
Alabama,,,Castleberry,6%,,
Alabama,,,Repton,6%,,
Alabama,,,Lenox,6%,,
Alabama,,,Range,6%,,
Alabama,,,Brooklyn,6%,,
Alabama,,,,,,
Alabama,,,,,,
Alabama,Coosa County,9%,Goodwater,6%,,
Alabama,,,Kellyton,6%,,
Alabama,,,Rockford,9%,,
Alabama,,,Equality,6%,,
Alabama,,,Weogufka,6%,,
Alabama,,,,,,
Alabama,,,,,,
Alabama,Covington County,10%,Andalusia,10%,,
Alabama,,,Opp,10%,,
Alabama,,,Andalusia,6.50%,,
Alabama,,,Florala,10%,,
Alabama,,,Red Level,6.50%,,
Alabama,,,Wing,6.50%,,
Alabama,,,Gantt,8.50%,,
Alabama,,,Lockhart,8.50%,,
Alabama,,,River Falls,8.50%,,
Alabama,,,,,,
Alabama,,,,,,
Alabama,Crenshaw County,7.50%,Luverne,7.50%,,
Alabama,,,Brantley,7.50%,,
Alabama,,,Dozier,6.50%,,
Alabama,,,Highland Home,7.50%,,
Alabama,,,Honoraville,7.50%,,
Alabama,,,Lapine,7.50%,,
Alabama,,,Rutledge,7.50%,,
Alabama,,,,,,
Alabama,,,,,,
Alabama,Cullman County,9%,Cullman,8.50%,,
Alabama,,,Cullman,9%,,
Alabama,,,Vinemont,8.75%,,
Alabama,,,Bremen,8.50%,,
Alabama,,,Holly Pond,8.50%,,
Alabama,,,Crane Hill,8.50%,,
Alabama,,,Baileyton,8.50%,,
Alabama,,,Joppa,8.50%,,
Alabama,,,Logan,8.50%,,
Alabama,,,Garden City,9%,,
Alabama,,,,,,
Alabama,,,,,,
Alabama,Dale County,10%,Ozark,9%,,
Alabama,,,Daleville,9%,,
Alabama,,,Midland City,6%,,
Alabama,,,Newton,5%,,
Alabama,,,Fort Rucker,6%,,
Alabama,,,Ariton,6%,,
Alabama,,,Skipperville,6%,,
Alabama,,,Pinckard,10%,,
Alabama,,,,,,
Alabama,,,,,,
Alabama,Dallas County,10%,Selma,10%,,
Alabama,,,Orrville,5.50%,,
Alabama,,,Marion Junction,5.50%,,
Alabama,,,Plantersville,5.50%,,
Alabama,,,Minter,5.50%,,
Alabama,,,Sardis,5.50%,,
Alabama,,,Safford,5.50%,,
Alabama,,,,,,
Alabama,,,,,,
Alabama,Dekalb County,9%,Fort Payne,9%,,
Alabama,,,Rainsville,9%,,
Alabama,,,Crossville,5%,,
Alabama,,,Fort Payne,5%,,
Alabama,,,Collinsville,5%,,
Alabama,,,Henagar,9%,,
Alabama,,,Fyffe,5%,,
Alabama,,,Valley Head,5%,,
Alabama,,,Ider,7%,,
Alabama,,,Mentone,7%,,
Alabama,,,Sylvania,9%,,
Alabama,,,Geraldine,7%,,
Alabama,,,Dawson,5%,,
Alabama,,,Groveoak,5%,,
Alabama,,,,,,
Alabama,,,,,,
Alabama,Elmore County,10%,Wetumpka,7%,,
Alabama,,,Millbrook,8.50%,,
Alabama,,,Tallassee,10%,,
Alabama,,,Deatsville,5%,,
Alabama,,,Wetumpka,5%,,
Alabama,,,Eclectic,5%,,
Alabama,,,Elmore,6.50%,,
Alabama,,,Titus,5%,,
Alabama,,,Coosada,8.50%,,
Alabama,,,,,,
Alabama,,,,,,
